"Data Source,""World Development Indicators"","

"Last Updated Date,""2019-07-10"","

"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"","
"Aruba,""ABW"",""Population, total"",""SP.POP.TOTL"",""54211"",""55438"",""56225"",""56695"",""57032"",""57360"",""57715"",""58055"",""58386"",""58726"",""59063"",""59440"",""59840"",""60243"",""60528"",""60657"",""60586"",""60366"",""60103"",""59980"",""60096"",""60567"",""61345"",""62201"",""62836"",""63026"",""62644"",""61833"",""61079"",""61032"",""62149"",""64622"",""68235"",""72504"",""76700"",""80324"",""83200"",""85451"",""87277"",""89005"",""90853"",""92898"",""94992"",""97017"",""98737"",""100031"",""100834"",""101222"",""101358"",""101455"",""101669"",""102046"",""102560"",""103159"",""103774"",""104341"",""104872"",""105366"",""105845"","
"Afghanistan,""AFG"",""Population, total"",""SP.POP.TOTL"",""8996973"",""9169410"",""9351441"",""9543205"",""9744781"",""9956320"",""10174836"",""10399926"",""10637063"",""10893776"",""11173642"",""11475445"",""11791215"",""12108963"",""12412950"",""12689160"",""12943093"",""13171306"",""13341198"",""13411056"",""13356511"",""13171673"",""12882528"",""12537730"",""12204292"",""11938208"",""11736179"",""11604534"",""11618005"",""11868877"",""12412308"",""13299017"",""14485546"",""15816603"",""17075727"",""18110657"",""18853437"",""19357126"",""19737765"",""20170844"",""20779953"",""21606988"",""22600770"",""23680871"",""24726684"",""25654277"",""26433049"",""27100536"",""27722276"",""28394813"",""29185507"",""30117413"",""31161376"",""32269589"",""33370794"",""34413603"",""35383128"",""36296400"",""37172386"","
"Angola,""AGO"",""Population, total"",""SP.POP.TOTL"",""5454933"",""5531472"",""5608539"",""5679458"",""5735044"",""5770570"",""5781214"",""5774243"",""5771652"",""5803254"",""5890365"",""6040777"",""6248552"",""6496962"",""6761380"",""7024000"",""7279509"",""7533735"",""7790707"",""8058067"",""8341289"",""8640446"",""8952950"",""9278096"",""9614754"",""9961997"",""10320111"",""10689250"",""11068050"",""11454777"",""11848386"",""12248901"",""12657366"",""13075049"",""13503747"",""13945206"",""14400719"",""14871570"",""15359601"",""15866869"",""16395473"",""16945753"",""17519417"",""18121479"",""18758145"",""19433602"",""20149901"",""20905363"",""21695634"",""22514281"",""23356246"",""24220661"",""25107931"",""26015780"",""26941779"",""27884381"",""28842484"",""29816748"",""30809762"","
"Arab World,""ARB"",""Population, total"",""SP.POP.TOTL"",""92197753"",""94724510"",""97334442"",""100034179"",""102832760"",""105736431"",""108758610"",""111899364"",""115136178"",""118437195"",""121785650"",""125164745"",""128598734"",""132161298"",""135952252"",""140040649"",""144453278"",""149161891"",""154111175"",""159218552"",""164420785"",""169698994"",""175061792"",""180505996"",""186035305"",""191650331"",""197338142"",""203084971"",""208889682"",""214753970"",""222653373"",""228731685"",""232956352"",""239243261"",""245449409"",""253107289"",""259000953"",""264822188"",""270575803"",""276393837"",""282344154"",""288432163"",""294665185"",""301113849"",""307862843"",""314965793"",""322452754"",""330290716"",""338395961"",""346629220"",""354890042"",""363158703"",""371443547"",""379705719"",""387907748"",""396028278"",""404024433"",""411898965"",""419790588"","
"Congo, Dem. Rep.,""COD"",""Population, total"",""SP.POP.TOTL"",""15248251"",""15637699"",""16041190"",""16461830"",""16903831"",""17369883"",""17862049"",""18378625"",""18913878"",""19459816"",""20011036"",""20564067"",""21121363"",""21690443"",""22282136"",""22903581"",""23560464"",""24249130"",""24956385"",""25663592"",""26358908"",""27040322"",""27717291"",""28403851"",""29119673"",""29881229"",""30683869"",""31528708"",""32443781"",""33464765"",""34612023"",""35908244"",""37333914"",""38815834"",""40252975"",""41576234"",""42757243"",""43827180"",""44849967"",""45919613"",""47105826"",""48428545"",""49871666"",""51425580"",""53068880"",""54785903"",""56578037"",""58453683"",""60411195"",""62448574"",""64563854"",""66755153"",""69020747"",""71358807"",""73767447"",""76244544"",""78789127"",""81398764"",""84068091"","
"Congo, Rep.,""COG"",""Population, total"",""SP.POP.TOTL"",""1018253"",""1043116"",""1069238"",""1096638"",""1125352"",""1155392"",""1186785"",""1219541"",""1253760"",""1289522"",""1326885"",""1365899"",""1406522"",""1448637"",""1492055"",""1536654"",""1582358"",""1629209"",""1677332"",""1726866"",""1777934"",""1830632"",""1884875"",""1940443"",""1996995"",""2054312"",""2112361"",""2171321"",""2231465"",""2293166"",""2356737"",""2422305"",""2489952"",""2559873"",""2632345"",""2707537"",""2785810"",""2867280"",""2951647"",""3038433"",""3127411"",""3217933"",""3310387"",""3406922"",""3510468"",""3622775"",""3745141"",""3876119"",""4011486"",""4145391"",""4273731"",""4394844"",""4510198"",""4622761"",""4736974"",""4856095"",""4980999"",""5110702"",""5244363"","
"Sint Maarten (Dutch part),""SXM"",""Population, total"",""SP.POP.TOTL"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""31240"",""31084"",""30519"",""30600"",""30777"",""31472"",""32488"",""33011"",""33441"",""33811"",""33964"",""34238"",""34056"",""33435"",""34640"",""36607"",""37685"",""38825"",""39969"",""40574"",""40654"","
